iso	url	name	place_id
276	http://upload.wikimedia.org/wikipedia/commons/b/ba/Flag_of_Germany.svg	Germany	7207
288	http://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Ghana.svg	Ghana	7228
292	http://upload.wikimedia.org/wikipedia/commons/0/02/Flag_of_Gibraltar.svg	Gibraltar	10292
300	http://upload.wikimedia.org/wikipedia/commons/5/5c/Flag_of_Greece.svg	Greece	7094
304	http://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_Greenland.svg	Greenland	7704
308	http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Grenada.svg	Grenada	9992
312	http://upload.wikimedia.org/wikipedia/commons/7/7d/Flag_of_Guadeloupe_(local)_variant.svg	Guadeloupe	8177
316	http://upload.wikimedia.org/wikipedia/commons/0/07/Flag_of_Guam.svg	Guam	7316
320	http://upload.wikimedia.org/wikipedia/commons/e/ec/Flag_of_Guatemala.svg	Guatemala	6940
831	http://upload.wikimedia.org/wikipedia/commons/f/fa/Flag_of_Guernsey.svg	Guernsey	10291
324	http://upload.wikimedia.org/wikipedia/commons/e/ed/Flag_of_Guinea.svg	Guinea	8512
624	http://upload.wikimedia.org/wikipedia/commons/0/01/Flag_of_Guinea-Bissau.svg	Guinea-Bissau	8513
328	http://upload.wikimedia.org/wikipedia/commons/9/99/Flag_of_Guyana.svg	Guyana	8142
332	http://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Haiti.svg	Haiti	7526
334	http://upload.wikimedia.org/wikipedia/commons/b/b9/Flag_of_Australia.svg	Heard Island and McDonald Islands	10293
336	http://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Vatican_City.svg	Vatican City	9213
340	http://upload.wikimedia.org/wikipedia/commons/8/82/Flag_of_Honduras.svg	Honduras	6929
344	http://upload.wikimedia.org/wikipedia/commons/5/5b/Flag_of_Hong_Kong.svg	Hong Kong	7613
348	http://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg	Hungary	7399
352	http://upload.wikimedia.org/wikipedia/commons/c/ce/Flag_of_Iceland.svg	Iceland	7278
356	http://upload.wikimedia.org/wikipedia/commons/4/41/Flag_of_India.svg	India	6681
360	http://upload.wikimedia.org/wikipedia/commons/9/9f/Flag_of_Indonesia.svg	Indonesia	6966
364	http://upload.wikimedia.org/wikipedia/commons/c/ca/Flag_of_Iran.svg	Iran	6818
368	http://upload.wikimedia.org/wikipedia/commons/f/f6/Flag_of_Iraq.svg	Iraq	8206
372	http://upload.wikimedia.org/wikipedia/commons/4/45/Flag_of_Ireland.svg	Ireland	6718
833	http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_the_Isle_of_Man.svg	Isle of Man	10294
376	http://upload.wikimedia.org/wikipedia/commons/d/d4/Flag_of_Israel.svg	Israel	6815
380	http://upload.wikimedia.org/wikipedia/commons/0/03/Flag_of_Italy.svg	Italy	6973
388	http://upload.wikimedia.org/wikipedia/commons/0/0a/Flag_of_Jamaica.svg	Jamaica	8748
392	http://upload.wikimedia.org/wikipedia/commons/9/9e/Flag_of_Japan.svg	Japan	6737
832	http://upload.wikimedia.org/wikipedia/commons/1/1c/Flag_of_Jersey.svg	Jersey	10296
400	http://upload.wikimedia.org/wikipedia/commons/c/c0/Flag_of_Jordan.svg	Jordan	7833
398	http://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kazakhstan.svg	Kazakhstan	7342
404	http://upload.wikimedia.org/wikipedia/commons/4/49/Flag_of_Kenya.svg	Kenya	7042
296	http://upload.wikimedia.org/wikipedia/commons/d/d3/Flag_of_Kiribati.svg	Kiribati	10323
408	http://upload.wikimedia.org/wikipedia/commons/5/51/Flag_of_North_Korea.svg	North Korea	8432
410	http://upload.wikimedia.org/wikipedia/commons/0/09/Flag_of_South_Korea.svg	South Korea	6891
414	http://upload.wikimedia.org/wikipedia/commons/a/aa/Flag_of_Kuwait.svg	Kuwait	7355
417	http://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg	Kyrgyzstan	7346
418	http://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg	Laos	7001
428	http://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg	Latvia	8050
422	http://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg	Lebanon	10299
426	http://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg	Lesotho	8489
430	http://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg	Liberia	8514
434	http://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg	Libya	7305
438	http://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg	Liechtenstein	8263
440	http://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg	Lithuania	8266
442	http://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg	Luxembourg	8147
446	http://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Macau.svg	Macao	10301
807	http://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg	Macedonia	10303
450	http://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg	Madagascar	7783
454	http://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg	Malawi	7113
458	http://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg	Malaysia	7155
462	http://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg	Maldives	8425
466	http://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg	Mali	7846
470	http://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg	Malta	8240
584	http://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg	Marshall Islands	10324
474	http://upload.wikimedia.org/wikipedia/commons/5/52/Flag_of_Martinique.svg	Martinique	10305
478	http://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg	Mauritania	7133
480	http://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg	Mauritius	8357
175	http://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Mayotte_(local).svg	Mayotte	10306
