iso	url	name	place_id	ratio
417	https://upload.wikimedia.org/wikipedia/commons/c/c7/Flag_of_Kyrgyzstan.svg	Kyrgyzstan	7346	1.667
418	https://upload.wikimedia.org/wikipedia/commons/5/56/Flag_of_Laos.svg	Laos	7001	1.5
428	https://upload.wikimedia.org/wikipedia/commons/8/84/Flag_of_Latvia.svg	Latvia	8050	2
422	https://upload.wikimedia.org/wikipedia/commons/5/59/Flag_of_Lebanon.svg	Lebanon	10299	1.5
426	https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Lesotho.svg	Lesotho	8489	1.5
430	https://upload.wikimedia.org/wikipedia/commons/b/b8/Flag_of_Liberia.svg	Liberia	8514	1.9
434	https://upload.wikimedia.org/wikipedia/commons/0/05/Flag_of_Libya.svg	Libya	7305	2
438	https://upload.wikimedia.org/wikipedia/commons/4/47/Flag_of_Liechtenstein.svg	Liechtenstein	8263	1.667
440	https://upload.wikimedia.org/wikipedia/commons/1/11/Flag_of_Lithuania.svg	Lithuania	8266	1.667
442	https://upload.wikimedia.org/wikipedia/commons/d/da/Flag_of_Luxembourg.svg	Luxembourg	8147	1.667
446	https://upload.wikimedia.org/wikipedia/commons/6/63/Flag_of_Macau.svg	Macao	10301	1.5
807	https://upload.wikimedia.org/wikipedia/commons/f/f8/Flag_of_Macedonia.svg	Macedonia	10303	2
450	https://upload.wikimedia.org/wikipedia/commons/b/bc/Flag_of_Madagascar.svg	Madagascar	7783	1.5
454	https://upload.wikimedia.org/wikipedia/commons/d/d1/Flag_of_Malawi.svg	Malawi	7113	1.5
458	https://upload.wikimedia.org/wikipedia/commons/6/66/Flag_of_Malaysia.svg	Malaysia	7155	2
462	https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Maldives.svg	Maldives	8425	1.5
466	https://upload.wikimedia.org/wikipedia/commons/9/92/Flag_of_Mali.svg	Mali	7846	1.5
470	https://upload.wikimedia.org/wikipedia/commons/7/73/Flag_of_Malta.svg	Malta	8240	1.5
584	https://upload.wikimedia.org/wikipedia/commons/2/2e/Flag_of_the_Marshall_Islands.svg	Marshall Islands	10324	1.9
474	https://upload.wikimedia.org/wikipedia/commons/6/64/Snake_Flag_of_Martinique.svg	Martinique	10305	1.5
478	https://upload.wikimedia.org/wikipedia/commons/4/43/Flag_of_Mauritania.svg	Mauritania	7133	1.5
480	https://upload.wikimedia.org/wikipedia/commons/7/77/Flag_of_Mauritius.svg	Mauritius	8357	1.5
175	https://upload.wikimedia.org/wikipedia/commons/4/4a/Flag_of_Mayotte_(local).svg	Mayotte	10306	1.5
484	https://upload.wikimedia.org/wikipedia/commons/f/fc/Flag_of_Mexico.svg	México	6793	1.75
583	https://upload.wikimedia.org/wikipedia/commons/e/e4/Flag_of_the_Federated_States_of_Micronesia.svg	Micronesia	10322	1.9
498	https://upload.wikimedia.org/wikipedia/commons/2/27/Flag_of_Moldova.svg	Moldova	10302	2
492	https://upload.wikimedia.org/wikipedia/commons/e/ea/Flag_of_Monaco.svg	Monaco	8227	1.25
496	https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Mongolia.svg	Mongolia	7347	2
499	https://upload.wikimedia.org/wikipedia/commons/6/64/Flag_of_Montenegro.svg	Montenegro	8859	2
500	https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Montserrat.svg	Montserrat	10304	2
504	https://upload.wikimedia.org/wikipedia/commons/2/2c/Flag_of_Morocco.svg	Morocco	7306	1.5
508	https://upload.wikimedia.org/wikipedia/commons/d/d0/Flag_of_Mozambique.svg	Mozambique	7134	1.5
