county_name	geoid	url	obs_count	iconic_taxon	common_name	sci_name	photo	photo_attribution	critter_obs_count
Okeechobee County, FL	12093	http://www.inaturalist.org/observations?place_id=528	29	26036	Rough Green Snake	Opheodrys aestivus	http://farm4.staticflickr.com/3112/2827309845_fa91d7f462_s.jpg	(c) Patrick Coin, some rights reserved (CC BY-NC-SA)	3
Pasco County, FL	12101	http://www.inaturalist.org/observations?place_id=529	162	47126	Pines	Pinus	http://farm9.staticflickr.com/8088/8487847890_86a38fc623_s.jpg	(c) 5u5, some rights reserved (CC BY)	2
Lake County, FL	12069	http://www.inaturalist.org/observations?place_id=534	432	3	White Ibis	Eudocimus albus	http://farm4.staticflickr.com/3198/2707871079_abe5d9e649_s.jpg	(c) Jeff Nickel, some rights reserved (CC BY-NC-SA)	19
Glades County, FL	12043	http://www.inaturalist.org/observations?place_id=695	19	3	Black Vulture	Coragyps atratus	http://static.inaturalist.org/photos/1739822/square.jpg?1444848426	(c) D. Alexander Carrillo Mtz., some rights reserved (CC BY)	2
Citrus County, FL	12017	http://www.inaturalist.org/observations?place_id=696	203	40151	Florida Manatee	Trichechus manatus latirostris	http://static.inaturalist.org/photos/408740/square.jpg?1373556316	(c) sullivanribbit, some rights reserved (CC BY-NC), uploaded by John Sullivan	8
Jackson County, FL	12063	http://www.inaturalist.org/observations?place_id=698	29	3	Double-crested Cormorant	Phalacrocorax auritus	http://farm4.staticflickr.com/3453/3219902210_49dd331423_s.jpg	(c) Blake Matheson, some rights reserved (CC BY-NC)	1
Koochiching County, MN	27071	http://www.inaturalist.org/observations?place_id=13419	136	47158	Fawn Darner	Boyeria vinosa	http://farm3.staticflickr.com/2486/3717023749_3b2b458a1b_s.jpg	(c) Stephen Durrenberger, some rights reserved (CC BY-NC-SA)	4
Manatee County, FL	12081	http://www.inaturalist.org/observations?place_id=941	532	26036	Brown Anole	Anolis sagrei	http://farm6.staticflickr.com/5099/5497627582_be6c93fd18_s.jpg	(c) Richard  Crook, some rights reserved (CC BY-NC-ND)	9
Polk County, FL	12105	http://www.inaturalist.org/observations?place_id=948	520	26036	American Alligator	Alligator mississippiensis	http://farm4.staticflickr.com/3354/3414352585_2a746476c6_s.jpg	(c) Ryan Somma, some rights reserved (CC BY-SA)	21
Baker County, FL	12003	http://www.inaturalist.org/observations?place_id=2019	31	3	Mourning Dove	Zenaida macroura	http://farm4.staticflickr.com/3154/2964982649_28bce9db34_s.jpg	(c) David Hofmann, some rights reserved (CC BY-NC-ND)	1
