"login","user_id","user_icon","identifications","species","wg","wg"
"net8a",114537,"https://static.inaturalist.org/attachments/users/icons/114537/medium.png?1475549005",60,57,0,0
"sflott",514851,"https://static.inaturalist.org/attachments/users/icons/514851/medium.jpg?1511374184",60,53,0,0
"projectsabroadkohsdach",157210,"https://static.inaturalist.org/attachments/users/icons/157210/medium.jpg?1475539110",59,5,0,0
"joemdo",349183,"https://static.inaturalist.org/attachments/users/icons/349183/medium.jpg?1477097260",57,36,0,0
"tsirtalis",19215,"https://static.inaturalist.org/attachments/users/icons/19215/medium.jpg?1506180846",56,36,0,0
"tangatawhenua",125707,"https://static.inaturalist.org/attachments/users/icons/125707/medium.jpg?1475542261",56,23,0,0
"magne",380643,"https://static.inaturalist.org/attachments/users/icons/380643/medium.jpg?1481482132",56,27,0,0
"jacog",451919,"https://static.inaturalist.org/attachments/users/icons/451919/medium.jpeg?1492211729",56,35,0,0
"mracre",4568,"https://static.inaturalist.org/attachments/users/icons/4568/medium.jpeg?1490532346",55,36,0,0
"jakob",5643,"https://static.inaturalist.org/attachments/users/icons/5643/medium.png?1475530151",53,58,0,0
"hartvillestuff",5245,"https://static.inaturalist.org/attachments/users/icons/5245/medium.jpg?1475529946",52,171,0,0
"dwalc400",492264,"",52,30,0,0
"cohen",10505,"https://static.inaturalist.org/attachments/users/icons/10505/medium.jpg?1475532680",50,81,0,0
"frsimkins",224831,"https://static.inaturalist.org/attachments/users/icons/224831/medium.jpg?1494283865",50,14,0,0
"v_s_",396881,"https://static.inaturalist.org/attachments/users/icons/396881/medium.jpg?1497027889",50,24,0,0
"c4b",464354,"https://static.inaturalist.org/attachments/users/icons/464354/medium.jpg?1503249647",50,27,0,0
"d_kluza",13200,"https://static.inaturalist.org/attachments/users/icons/13200/medium.gif?1494813070",49,99,0,0
"jpsilva",26473,"https://static.inaturalist.org/attachments/users/icons/26473/medium.jpg?1475541089",49,100,0,0
"jeaniewilliams",37314,"https://static.inaturalist.org/attachments/users/icons/37314/medium.jpg?1475547141",49,11,0,0
"biohexx1",81261,"https://static.inaturalist.org/attachments/users/icons/81261/medium.png?1475545921",48,23,0,0
"pfuller",412174,"",48,43,0,0
"hfb",510442,"https://static.inaturalist.org/attachments/users/icons/510442/medium.jpeg?1497584290",48,34,0,0
"aliashraf",140612,"https://static.inaturalist.org/attachments/users/icons/140612/medium.jpg?1508023433",47,32,0,0
"airalcorn2",1651,"https://static.inaturalist.org/attachments/users/icons/1651/medium.jpg?1475528091",46,31,0,0
"ruggedbynature",315502,"https://static.inaturalist.org/attachments/users/icons/315502/medium.jpg?1511357022",46,9,0,0
"pagophila",393377,"https://static.inaturalist.org/attachments/users/icons/393377/medium.jpg?1489357267",46,33,0,0
"hypsypops",409703,"https://static.inaturalist.org/attachments/users/icons/409703/medium.jpg?1487637697",46,32,0,0
"leonie_rennie",634703,"",46,8,0,0
"pcar773",144464,"https://static.inaturalist.org/attachments/users/icons/144464/medium.jpeg?1475547282",45,4,0,0
"crystal_hiltz_arc",668831,"",45,18,0,0
"lemurdillo",4862,"https://static.inaturalist.org/attachments/users/icons/4862/medium.jpg?1480012691",44,28,0,0
"kokhuitan",47594,"https://static.inaturalist.org/attachments/users/icons/47594/medium.jpeg?1475588979",44,27,0,0
"joe_cutler",280544,"https://static.inaturalist.org/attachments/users/icons/280544/medium.jpg?1489281921",44,56,0,0
"danielgeorge",21318,"https://static.inaturalist.org/attachments/users/icons/21318/medium.jpg?1475538821",43,33,0,0
"isaacsfishingcorner",379756,"https://static.inaturalist.org/attachments/users/icons/379756/medium.jpg?1504821531",43,26,0,0
"marioleal85",216684,"https://static.inaturalist.org/attachments/users/icons/216684/medium.jpg?1475539776",42,23,0,0
"kestrel",2692,"https://static.inaturalist.org/attachments/users/icons/2692/medium.jpg?1475528559",41,44,0,0
"hdv_diva",416718,"https://static.inaturalist.org/attachments/users/icons/416718/medium.jpeg?1488520385",41,7,0,0
