id	species
17179	Cyanocitta cristata
17181	Cyanocitta cristata
18065	Cyanocitta cristata
18087	Corvus brachyrhynchos
18091	Cyanocitta cristata
8081	Perisoreus canadensis
8105	Pica hudsonia
8111	Pica hudsonia
12019	Cyanocitta cristata
12029	Corvus brachyrhynchos
12039	Cyanocitta cristata
12035	Cyanocitta cristata
12031	Corvus brachyrhynchos
12073	Cyanocitta cristata
6027	Corvus corax
32001	Pica hudsonia
34001	Corvus ossifragus
34019	Cyanocitta cristata
34025	Cyanocitta cristata
53005	Pica hudsonia
53019	Nucifraga columbiana
54023	Corvus corax
54057	Cyanocitta cristata
8039	Pica hudsonia
8117	Perisoreus canadensis
8103	Pica hudsonia
8031	Pica hudsonia
32019	Pica hudsonia
34011	Corvus ossifragus
37189	Corvus brachyrhynchos
39055	Cyanocitta cristata
39073	Corvus brachyrhynchos
39093	Corvus brachyrhynchos
29186	Cyanocitta cristata
18143	Cyanocitta cristata
34009	Corvus ossifragus
32021	Pica hudsonia
8073	Pica hudsonia
8059	Pica hudsonia
39127	Corvus brachyrhynchos
39147	Cyanocitta cristata
39163	Corvus brachyrhynchos
5141	Corvus brachyrhynchos
47121	Corvus brachyrhynchos
47139	Cyanocitta cristata
42129	Cyanocitta cristata
18177	Cyanocitta cristata
18035	Cyanocitta cristata
39097	Cyanocitta cristata
40081	Corvus brachyrhynchos
41049	Pica hudsonia
41015	Cyanocitta stelleri
42085	Corvus brachyrhynchos
35005	Cyanocitta stelleri
35021	Pica hudsonia
35051	Corvus corax
37115	Corvus brachyrhynchos
37175	Corvus brachyrhynchos
17093	Cyanocitta cristata
1103	Corvus brachyrhynchos
6099	Aphelocoma californica
2122	Pica hudsonia
2150	Pica hudsonia
6055	Aphelocoma californica
2261	Perisoreus canadensis
17091	Cyanocitta cristata
41033	Cyanocitta stelleri
42019	Corvus brachyrhynchos
42125	Corvus brachyrhynchos
28149	Cyanocitta cristata
30099	Nucifraga columbiana
30063	Pica hudsonia
17147	Corvus brachyrhynchos
18089	Cyanocitta cristata
42007	Corvus brachyrhynchos
37089	Corvus brachyrhynchos
35023	Aphelocoma wollweberi
35043	Corvus corax
12117	Aphelocoma coerulescens
34041	Corvus brachyrhynchos
36067	Corvus brachyrhynchos
49051	Pica hudsonia
55127	Corvus brachyrhynchos
53061	Cyanocitta stelleri
53053	Corvus brachyrhynchos
6105	Aphelocoma californica
6087	Aphelocoma californica
32029	Nucifraga columbiana
30077	Pica hudsonia
30081	Pica hudsonia
28049	Cyanocitta cristata
17097	Cyanocitta cristata
6045	Aphelocoma californica
46033	Corvus brachyrhynchos
46055	Pica hudsonia
28041	Cyanocitta cristata
39095	Cyanocitta cristata
46093	Corvus brachyrhynchos
46071	Pica hudsonia
2230	Corvus caurinus
41031	Pica hudsonia
41057	Corvus brachyrhynchos
16001	Nucifraga columbiana
46103	Pica hudsonia
46113	Pica hudsonia
37141	Corvus brachyrhynchos
41007	Corvus brachyrhynchos
53015	Aphelocoma californica
41019	Cyanocitta stelleri
6071	Corvus corax
2240	Perisoreus canadensis
2188	Corvus corax
28093	Cyanocitta cristata
30033	Pica hudsonia
41043	Corvus brachyrhynchos
41005	Aphelocoma californica
41035	Aphelocoma californica
41047	Corvus brachyrhynchos
41067	Corvus brachyrhynchos
53069	Corvus brachyrhynchos
2180	Corvus corax
1097	Cyanocitta cristata
20083	Pica hudsonia
41065	Corvus brachyrhynchos
20015	Cyanocitta cristata
41071	Aphelocoma californica
12119	Aphelocoma coerulescens
37069	Cyanocitta cristata
37173	Corvus brachyrhynchos
37177	Corvus ossifragus
37071	Cyanocitta cristata
29133	Cyanocitta cristata
13085	Cyanocitta cristata
13123	Cyanocitta cristata
13103	Cyanocitta cristata
51021	Corvus brachyrhynchos
51071	Corvus brachyrhynchos
51173	Corvus corax
12113	Corvus brachyrhynchos
51121	Corvus brachyrhynchos
51045	Corvus brachyrhynchos
51031	Cyanocitta cristata
51099	Cyanocitta cristata
54025	Corvus brachyrhynchos
55063	Cyanocitta cristata
55081	Cyanocitta cristata
1099	Cyanocitta cristata
1025	Cyanocitta cristata
1113	Corvus brachyrhynchos
29049	Corvus brachyrhynchos
39155	Corvus brachyrhynchos
12075	Corvus brachyrhynchos
12107	Aphelocoma coerulescens
13047	Corvus brachyrhynchos
13083	Corvus brachyrhynchos
13089	Corvus brachyrhynchos
13117	Corvus brachyrhynchos
13121	Corvus brachyrhynchos
13131	Cyanocitta cristata
13247	Corvus brachyrhynchos
13313	Corvus brachyrhynchos
39117	Cyanocitta cristata
42011	Cyanocitta cristata
42017	Cyanocitta cristata
13135	Corvus brachyrhynchos
51059	Cyanocitta cristata
51107	Cyanocitta cristata
51131	Corvus ossifragus
51135	Cyanocitta cristata
51153	Cyanocitta cristata
54037	Cyanocitta cristata
54093	Corvus brachyrhynchos
42073	Corvus brachyrhynchos
24011	Cyanocitta cristata
25003	Cyanocitta cristata
28021	Cyanocitta cristata
29151	Cyanocitta cristata
42077	Corvus corax
12009	Aphelocoma coerulescens
6001	Aphelocoma californica
6075	Corvus corax
17197	Cyanocitta cristata
42015	Cyanocitta cristata
6065	Corvus corax
12055	Aphelocoma coerulescens
12095	Aphelocoma coerulescens
12057	Aphelocoma coerulescens
12097	Aphelocoma coerulescens
30001	Pica hudsonia
4001	Corvus corax
17089	Cyanocitta cristata
6037	Aphelocoma californica
26101	Cyanocitta cristata
16023	Nucifraga columbiana
17087	Corvus brachyrhynchos
19099	Corvus brachyrhynchos
21139	Corvus brachyrhynchos
42009	Cyanocitta cristata
42049	Corvus brachyrhynchos
39139	Cyanocitta cristata
42027	Corvus brachyrhynchos
36095	Corvus corax
36109	Cyanocitta cristata
13157	Corvus brachyrhynchos
16081	Corvus corax
17021	Cyanocitta cristata
17027	Cyanocitta cristata
17135	Cyanocitta cristata
17157	Cyanocitta cristata
17199	Corvus brachyrhynchos
37119	Cyanocitta cristata
37135	Corvus brachyrhynchos
37155	Cyanocitta cristata
17051	Cyanocitta cristata
17133	Cyanocitta cristata
17143	Cyanocitta cristata
39105	Corvus brachyrhynchos
56025	Perisoreus canadensis
38095	Pica hudsonia
35061	Gymnorhinus cyanocephalus
53035	Perisoreus canadensis
53017	Perisoreus canadensis
53057	Cyanocitta stelleri
55055	Cyanocitta cristata
55075	Corvus corax
55131	Cyanocitta cristata
6023	Corvus corax
6085	Aphelocoma californica
6079	Aphelocoma californica
30049	Nucifraga columbiana
36077	Corvus corax
36079	Cyanocitta cristata
36111	Cyanocitta cristata
6069	Aphelocoma californica
6039	Cyanocitta stelleri
8083	Corvus corax
6031	Aphelocoma californica
4009	Corvus corax
39103	Cyanocitta cristata
1053	Cyanocitta cristata
12037	Corvus ossifragus
22103	Corvus brachyrhynchos
39025	Cyanocitta cristata
39135	Cyanocitta cristata
51197	Corvus brachyrhynchos
22017	Corvus brachyrhynchos
39133	Cyanocitta cristata
39175	Cyanocitta cristata
42071	Cyanocitta cristata
18077	Cyanocitta cristata
18095	Cyanocitta cristata
24015	Cyanocitta cristata
24019	Cyanocitta cristata
25001	Corvus brachyrhynchos
25017	Cyanocitta cristata
42133	Cyanocitta cristata
45029	Corvus ossifragus
45043	Corvus ossifragus
6011	Aphelocoma californica
51145	Corvus corax
51061	Cyanocitta cristata
53031	Perisoreus canadensis
55067	Corvus corax
47031	Corvus brachyrhynchos
6015	Cyanocitta stelleri
6013	Aphelocoma californica
6025	Corvus corax
6103	Aphelocoma californica
17007	Corvus brachyrhynchos
6009	Cyanocitta stelleri
6101	Aphelocoma californica
6109	Nucifraga columbiana
17019	Corvus brachyrhynchos
17127	Corvus brachyrhynchos
17151	Corvus brachyrhynchos
17153	Cyanocitta cristata
18047	Cyanocitta cristata
18141	Cyanocitta cristata
42075	Cyanocitta cristata
8109	Nucifraga columbiana
22121	Cyanocitta cristata
45013	Corvus ossifragus
56017	Pica hudsonia
39121	Corvus brachyrhynchos
47103	Corvus brachyrhynchos
49009	Pica hudsonia
51043	Cyanocitta cristata
51065	Cyanocitta cristata
51087	Cyanocitta cristata
53043	Pica hudsonia
8035	Pica hudsonia
8049	Perisoreus canadensis
8057	Perisoreus canadensis
56007	Pica hudsonia
49035	Pica hudsonia
4012	Corvus corax
20155	Corvus brachyrhynchos
37085	Cyanocitta cristata
41017	Pica hudsonia
41009	Aphelocoma californica
41025	Pica hudsonia
41023	Pica hudsonia
30073	Nucifraga columbiana
26099	Cyanocitta cristata
4013	Corvus corax
22023	Cyanocitta cristata
4011	Corvus corax
20209	Cyanocitta cristata
8077	Corvus corax
5001	Corvus ossifragus
8085	Pica hudsonia
20045	Cyanocitta cristata
17119	Cyanocitta cristata
26053	Corvus corax
36051	Corvus brachyrhynchos
37067	Corvus brachyrhynchos
41027	Perisoreus canadensis
6051	Nucifraga columbiana
6033	Corvus corax
6047	Aphelocoma californica
6053	Aphelocoma californica
6077	Aphelocoma californica
6019	Corvus corax
6089	Cyanocitta stelleri
6095	Aphelocoma californica
12061	Corvus ossifragus
17041	Corvus brachyrhynchos
17165	Corvus brachyrhynchos
12015	Aphelocoma coerulescens
13279	Corvus brachyrhynchos
16015	Corvus brachyrhynchos
29169	Cyanocitta cristata
37033	Corvus brachyrhynchos
26149	Corvus brachyrhynchos
22091	Cyanocitta cristata
22089	Corvus brachyrhynchos
22095	Corvus brachyrhynchos
1071	Corvus brachyrhynchos
21185	Cyanocitta cristata
21223	Cyanocitta cristata
