"login","user_id","user_icon","identifications","species","wg"
"muir",1000,"https://static.inaturalist.org/attachments/users/icons/1000/medium.jpg?1475527774",53,46,0
"anudibranchmom",26610,"https://static.inaturalist.org/attachments/users/icons/26610/medium.jpg?1475541139",53,25,0
"alex_bairstow",317669,"https://static.inaturalist.org/attachments/users/icons/317669/medium.jpg?1504400797",53,17,0
"bosundawg",263834,"https://static.inaturalist.org/attachments/users/icons/263834/medium.jpg?1510451132",52,19,0
"mcaitlin",454181,"https://static.inaturalist.org/attachments/users/icons/454181/medium.jpg?1492369470",51,16,0
"pedroivosimoes",1960,"https://static.inaturalist.org/attachments/users/icons/1960/medium.jpg?1475528272",50,79,0
"rcurtis",4860,"https://static.inaturalist.org/attachments/users/icons/4860/medium.jpeg?1475529777",50,30,0
"juancruzado",5772,"https://static.inaturalist.org/attachments/users/icons/5772/medium.jpg?1475530220",50,60,0
"ritirene",100704,"https://static.inaturalist.org/attachments/users/icons/100704/medium.jpg?1504051009",50,9,0
"ivanmazzon",105223,"https://static.inaturalist.org/attachments/users/icons/105223/medium.jpg?1494096311",50,9,0
"npk",143883,"https://static.inaturalist.org/attachments/users/icons/143883/medium.jpg?1505437314",50,10,0
"jwm57",43084,"https://static.inaturalist.org/attachments/users/icons/43084/medium.jpg?1491865338",49,14,0
"wyattherp",108876,"https://static.inaturalist.org/attachments/users/icons/108876/medium.jpg?1494044500",49,13,0
"arborsphere",110496,"https://static.inaturalist.org/attachments/users/icons/110496/medium.jpg?1475547923",48,15,0
"thomasabenson",513187,"",48,20,0
"henicorhina",19563,"https://static.inaturalist.org/attachments/users/icons/19563/medium.jpg?1482809374",47,28,0
"andrewbrinker",24857,"https://static.inaturalist.org/attachments/users/icons/24857/medium.jpg?1491516202",47,18,0
"cris-tzabcan",46681,"https://static.inaturalist.org/attachments/users/icons/46681/medium.jpg?1496076608",47,25,0
"hawnzd",51931,"https://static.inaturalist.org/attachments/users/icons/51931/medium.jpg?1495751150",47,14,0
"alflinn329",353582,"https://static.inaturalist.org/attachments/users/icons/353582/medium.jpg?1502855381",47,8,0
"eligarciapadilla",3656,"https://static.inaturalist.org/attachments/users/icons/3656/medium.jpg?1491240077",46,61,0
"giacomo3",271647,"https://static.inaturalist.org/attachments/users/icons/271647/medium.jpg?1484686355",46,9,0
"koinpro",284003,"https://static.inaturalist.org/attachments/users/icons/284003/medium.jpg?1475530597",46,9,0
"garrett_lawson",417581,"https://static.inaturalist.org/attachments/users/icons/417581/medium.jpg?1492813240",46,23,0
"aredoubles",11015,"https://static.inaturalist.org/attachments/users/icons/11015/medium.jpg?1475532875",45,36,0
"aztekium",16744,"https://static.inaturalist.org/attachments/users/icons/16744/medium.jpeg?1475536220",45,9,0
"richardwasson",64372,"https://static.inaturalist.org/attachments/users/icons/64372/medium.jpg?1475590155",45,14,0
"petechar1",153346,"https://static.inaturalist.org/attachments/users/icons/153346/medium.jpg?1488043384",45,14,0
"kate45",287240,"https://static.inaturalist.org/attachments/users/icons/287240/medium.jpg?1492116663",45,7,0
"thomasbarbin",302785,"https://static.inaturalist.org/attachments/users/icons/302785/medium.jpg?1497150165",45,14,0
"apeterlongo",447090,"https://static.inaturalist.org/attachments/users/icons/447090/medium.jpg?1498943184",45,6,0
"peterhma",453284,"https://static.inaturalist.org/attachments/users/icons/453284/medium.jpg?1494696447",45,15,0
"dpom",16101,"https://static.inaturalist.org/attachments/users/icons/16101/medium.jpg?1483058050",44,23,0
"treichard",17932,"https://static.inaturalist.org/attachments/users/icons/17932/medium.jpg?1496372379",43,14,0
"supertiger",64286,"https://static.inaturalist.org/attachments/users/icons/64286/medium.jpg?1485734052",43,16,0
"nelruzam",88577,"https://static.inaturalist.org/attachments/users/icons/88577/medium.jpg?1500408226",43,15,0
"kathawk",300278,"https://static.inaturalist.org/attachments/users/icons/300278/medium.jpg?1475527763",43,15,0
"mcaple",558416,"https://static.inaturalist.org/attachments/users/icons/558416/medium.jpg?1501777498",43,11,0
"jansonjones",4045,"https://static.inaturalist.org/attachments/users/icons/4045/medium.jpg?1475529283",42,21,0
"finatic",10285,"https://static.inaturalist.org/attachments/users/icons/10285/medium.jpg?1475532519",42,34,0
"royaltyler",18446,"https://static.inaturalist.org/attachments/users/icons/18446/medium.jpeg?1475537313",42,29,0
"tnewman",48418,"",42,8,0
"l0000_hz_legend",121203,"https://static.inaturalist.org/attachments/users/icons/121203/medium.jpg?1506754724",42,28,0
"carlacorazza",180866,"https://static.inaturalist.org/attachments/users/icons/180866/medium.jpg?1475537714",42,8,0
"psweet",216168,"https://static.inaturalist.org/attachments/users/icons/216168/medium.jpg?1478731222",42,18,0
"dcarrie",380122,"",42,26,0
"bobby23",516268,"https://static.inaturalist.org/attachments/users/icons/516268/medium.jpg?1507668047",42,15,0
"susanelliott",12610,"https://static.inaturalist.org/attachments/users/icons/12610/medium.jpg?1475533475",41,16,0
"serpophaga",173183,"https://static.inaturalist.org/attachments/users/icons/173183/medium.png?1485118102",41,20,0
"asherah29",187272,"https://static.inaturalist.org/attachments/users/icons/187272/medium.jpg?1475539291",41,12,0
"dan_macneal",472396,"https://static.inaturalist.org/attachments/users/icons/472396/medium.png?1495900692",41,11,0
"biosam",642,"https://static.inaturalist.org/attachments/users/icons/642/medium.jpg?1475527643",40,57,0
"bethpratt1",8172,"https://static.inaturalist.org/attachments/users/icons/8172/medium.jpg?1481505449",40,7,0
"romeyswanson",13156,"https://static.inaturalist.org/attachments/users/icons/13156/medium.jpg?1475533746",40,36,0
"thedrw",356154,"https://static.inaturalist.org/attachments/users/icons/356154/medium.jpeg?1477437753",40,25,0
"shanlouise",462480,"https://static.inaturalist.org/attachments/users/icons/462480/medium.jpeg?1492996148",40,6,0
"michiko",8917,"https://static.inaturalist.org/attachments/users/icons/8917/medium.jpg?1496085889",39,37,0
"kucycads",9531,"https://static.inaturalist.org/attachments/users/icons/9531/medium.jpg?1475532140",38,127,0
"brentano",25863,"https://static.inaturalist.org/attachments/users/icons/25863/medium.jpg?1475540830",38,7,0
"jblinde",63310,"https://static.inaturalist.org/attachments/users/icons/63310/medium.jpg?1475590314",38,5,0
"kbullock",171860,"https://static.inaturalist.org/attachments/users/icons/171860/medium.jpg?1508189220",38,13,0
"ekmoody",382741,"https://static.inaturalist.org/attachments/users/icons/382741/medium.jpg?1482363294",38,21,0
"dneuharth",16488,"https://static.inaturalist.org/attachments/users/icons/16488/medium.jpg?1494215318",37,51,0
"vuillermoz",108648,"https://static.inaturalist.org/attachments/users/icons/108648/medium.jpg?1500565482",37,2,0
"eyswanson",218258,"https://static.inaturalist.org/attachments/users/icons/218258/medium.jpg?1475540212",37,31,0
"desversen",227941,"https://static.inaturalist.org/attachments/users/icons/227941/medium.jpg?1491553677",37,11,0
"killercandy15",413146,"",37,13,0
"aswadandriyanto",424569,"https://static.inaturalist.org/attachments/users/icons/424569/medium.jpg?1489727405",37,14,0
"bouteloua",8882,"https://static.inaturalist.org/attachments/users/icons/8882/medium.jpg?1481137726",36,14,0
"metsa",28037,"https://static.inaturalist.org/attachments/users/icons/28037/medium.jpg?1475541956",36,20,0
"mrfish33",35478,"https://static.inaturalist.org/attachments/users/icons/35478/medium.png?1475546347",36,10,0
"markuslilje",140956,"https://static.inaturalist.org/attachments/users/icons/140956/medium.jpeg?1475546401",36,30,0
"jpleonar",172165,"https://static.inaturalist.org/attachments/users/icons/172165/medium.jpg?1488494131",36,15,0
